"index","answer","type","context","question"
"10","The New Haven Green was designated a National Historic Landmark in 1970.","factual","New Haven has a long tradition of urban planning and a purposeful design for the city's layout. The city could be argued to have some of the first preconceived layouts in the country. Upon founding, New Haven was laid out in a grid plan of nine square blocks; the central square was left open, in the tradition of many New England towns, as the city green (a commons area). The city also instituted the first public tree planting program in America. As in other cities, many of the elms that gave New Haven the nickname ""Elm City"" perished in the mid-20th century due to Dutch Elm disease, although many have since been replanted. The New Haven Green is currently home to three separate historic churches which speak to the original theocratic nature of the city. The Green remains the social center of the city today. It was named a National Historic Landmark in 1970.","What public area in New Haven was named a National Historic Landmark in 1970?"
"11","The term symbiosis refers to the close living arrangement between two organisms, often described as ""living together.""","factual","Parasites can at times be difficult to distinguish from grazers. Their feeding behavior is similar in many ways, however they are noted for their close association with their host species. While a grazing species such as an elephant may travel many kilometers in a single day, grazing on many plants in the process, parasites form very close associations with their hosts, usually having only one or at most a few in their lifetime. This close living arrangement may be described by the term symbiosis, ""living together"", but unlike mutualism the association significantly reduces the fitness of the host. Parasitic organisms range from the macroscopic mistletoe, a parasitic plant, to microscopic internal parasites such as cholera. Some species however have more loose associations with their hosts. Lepidoptera (butterfly and moth) larvae may feed parasitically on only a single plant, or they may graze on several nearby plants. It is therefore wise to treat this classification system as a continuum rather than four isolated forms.","What does the term symbiosis mean?"
"12","In the Yiddish language, the term ""Yiddishkeit"" translates to ""Jewishness.""","factual","Culturally, an Ashkenazi Jew can be identified by the concept of Yiddishkeit, which means ""Jewishness"" in the Yiddish language. Yiddishkeit is specifically the Jewishness of Ashkenazi Jews. Before the Haskalah and the emancipation of Jews in Europe, this meant the study of Torah and Talmud for men, and a family and communal life governed by the observance of Jewish Law for men and women. From the Rhineland to Riga to Romania, most Jews prayed in liturgical Ashkenazi Hebrew, and spoke Yiddish in their secular lives. But with modernization, Yiddishkeit now encompasses not just Orthodoxy and Hasidism, but a broad range of movements, ideologies, practices, and traditions in which Ashkenazi Jews have participated and somehow retained a sense of Jewishness. Although a far smaller number of Jews still speak Yiddish, Yiddishkeit can be identified in manners of speech, in styles of humor, in patterns of association. Broadly speaking, a Jew is one who associates culturally with Jews, supports Jewish institutions, reads Jewish books and periodicals, attends Jewish movies and theater, travels to Israel, visits historical synagogues, and so forth. It is a definition that applies to Jewish culture in general, and to Ashkenazi Yiddishkeit in particular.","What does Yiddishkeit mean in the Yiddish language?"
"13","Some hummingbirds choose not to migrate if they are provided with sufficient food throughout the winter months.","factual","The primary motivation for migration appears to be food; for example, some hummingbirds choose not to migrate if fed through the winter. Also, the longer days of the northern summer provide extended time for breeding birds to feed their young. This helps diurnal birds to produce larger clutches than related non-migratory species that remain in the tropics. As the days shorten in autumn, the birds return to warmer regions where the available food supply varies little with the season.","Which birds will not migrate if they are well fed through winter?"
"14","A total of five physical trophies have been presented.","factual","The trophy comes in three parts - the cup itself, plus a lid and a base. There have been two designs of trophy in use, but five physical trophies have been presented. The original trophy, known as the ""little tin idol"", was 18 inches high and made by Martin, Hall & Co. It was stolen in 1895 and never recovered, and so was replaced by an exact replica, used until 1910. The FA decided to change the design after the 1909 winners, Manchester United, made their own replica, leading the FA to realise they did not own the copyright. This new, larger design was by Messers Fattorini and Sons, and was used from 1911. In order to preserve this original, from 1992 it was replaced by an exact replica, although this had to be replaced after just over two decades, after showing wear and tear from being handled more than in previous eras. This third replica, first used in 2014, was built heavier to withstand the increased handling. Of the four surviving trophies, only the 1895 replica has entered private ownership.","How many physical trophies have been presented? "
"15","The Stern Review made a strong economic case for investing in low carbon technologies.","irrelevant","Today both the Papireto river and the Kemonia are covered up by buildings. However, the shape of the former watercourses can still be recognised today, because the streets that were built on them follow their shapes. Today the only waterway not drained yet is the Oreto river that divides the downtown of the city from the western uptown and the industrial districts. In the basins there were, though, many seasonal torrents that helped formed swampy plains, reclaimed during history; a good example of which can be found in the borough of Mondello.","How can former rivers be recognised presently?"
"16","The Presbyterian church was established in England in the year 1592.","factual","","In what year was the Presbyterianism church formed in England?"
"17","Ozzy Osbourne, the Fabulous Thunderbirds, and Electric Light Orchestra were not signed by CBS Associated Records in the 80s and 90s. Instead, they were signed by other record labels during that time period.","contradiction","In the 1980s to early 1990s, there was a CBS imprint label in the US known as CBS Associated Records. Tony Martell, veteran CBS and Epic Records A&R Vice President was head of this label and signed artists including Ozzy Osbourne, the Fabulous Thunderbirds, Electric Light Orchestra, Joan Jett, and Henry Lee Summer. This label was a part of (Epic/Portrait/Associated) wing of sub labels at CBS which shared the same national and regional staff as the rest of Epic Records and was a part of the full CBS Records worldwide distribution system.","Name 3 artists that CBS Associated Records signed on in the 80s and 90s?"
"18","Beyoncé served as the honorary chair for the 2013 Met Gala.","factual","Beyoncé embarked on The Mrs. Carter Show World Tour on April 15 in Belgrade, Serbia; the tour included 132 dates that ran through to March 2014. It became the most successful tour of her career and one of the most-successful tours of all time. In May, Beyoncé's cover of Amy Winehouse's ""Back to Black"" with André 3000 on The Great Gatsby soundtrack was released. She was also honorary chair of the 2013 Met Gala. Beyoncé voiced Queen Tara in the 3D CGI animated film, Epic, released by 20th Century Fox on May 24, and recorded an original song for the film, ""Rise Up"", co-written with Sia.","Beyoncé was an honorary chair of the 2013 what?"
"19","Adam Smith proposed the concept of an ""invisible hand"" that regulates economic systems, where actors are guided only by self-interest.","irrelevant","Alban Butler, writes on the subject: ""Five months after this great Council, Nicae, St Alexander lying on his death-bed, recommended to his clergy and people the choice of Athanasius for his successor, thrice repeating his name. In consequence of his recommendation, the bishops of all Egypt assembled at Alexandria, and finding the people and clergy unanimous in their choice of Athanasius for patriarch, they confirmed the election about the middle of year 326. He seems, then, to have been about thirty years of age. "" ","Did all the people want him as Patriarch?"
"20","The Crimean peninsula is situated in the city of Sevastopol.","factual","Frustrated by the wasted effort, and with demands for action from their citizens, the allied force decided to attack the center of Russian strength in the Black Sea at Sevastopol on the Crimean peninsula. After extended preparations, the forces landed on the peninsula in September 1854 and fought their way to a point south of Sevastopol after a series of successful battles. The Russians counterattacked on 25 October in what became the Battle of Balaclava and were repulsed, but at the cost of seriously depleting the British Army forces. A second counterattack, ordered personally by Nicholas, was defeated by Omar Pasha. The front settled into a siege and led to horrible conditions for troops on both sides. Smaller actions were carried out in the Baltic, the Caucasus, the White Sea and in the North Pacific.","The Crimean peninsula is located in what city?"
"21","To close relatives and friends, Bell was known as ""Aleck"".","factual","Alexander Bell was born in Edinburgh, Scotland, on March 3, 1847. The family home was at 16 South Charlotte Street, and has a stone inscription marking it as Alexander Graham Bell's birthplace. He had two brothers: Melville James Bell (1845–70) and Edward Charles Bell (1848–67), both of whom would die of tuberculosis. His father was Professor Alexander Melville Bell, a phonetician, and his mother was Eliza Grace (née Symonds). Born as just ""Alexander Bell"", at age 10 he made a plea to his father to have a middle name like his two brothers.[N 6] For his 11th birthday, his father acquiesced and allowed him to adopt the name ""Graham"", chosen out of respect for Alexander Graham, a Canadian being treated by his father who had become a family friend. To close relatives and friends he remained ""Aleck"".","What did those close to him call Bell?"
"22","The traditional building materials in Tuvalu were derived from plants and trees native to the region.","factual","The traditional buildings of Tuvalu used plants and trees from the native broadleaf forest, including timber from: Pouka, (Hernandia peltata); Ngia or Ingia bush, (Pemphis acidula); Miro, (Thespesia populnea); Tonga, (Rhizophora mucronata); Fau or Fo fafini, or woman's fibre tree (Hibiscus tiliaceus). and fibre from: coconut; Ferra, native fig (Ficus aspem); Fala, screw pine or Pandanus. The buildings were constructed without nails and were lashed and tied together with a plaited sennit rope that was handmade from dried coconut fibre.","What were the traditional building materials on Tuvalu?"
"23","Bell began to focus on his research into sound in the year 1873.","irrelevant","Resonant antennas are expected to be used around a particular resonant frequency; an antenna must therefore be built or ordered to match the frequency range of the intended application. A particular antenna design will present a particular feedpoint impedance. While this may affect the choice of an antenna, an antenna's impedance can also be adapted to the desired impedance level of a system using a matching network while maintaining the other characteristics (except for a possible loss of efficiency).","Which antenna type would be best for a project requiring a specific frequency?"
"24","Genetic engineering was initially discovered in the 21st century.","factual","In the 21st century, these trends have continued, and several new approaches have come into prominence, including multielectrode recording, which allows the activity of many brain cells to be recorded all at the same time; genetic engineering, which allows molecular components of the brain to be altered experimentally; genomics, which allows variations in brain structure to be correlated with variations in DNA properties and neuroimaging.","Genetic engineering was first discovered in what century?"
"25","It can take anywhere from days to weeks for hydrogen to reach its equilibrium ratio of parahydrogen to orthohydrogen at a given temperature.","factual","Even interpreting the hydrogen data (including safety data) is confounded by a number of phenomena. Many physical and chemical properties of hydrogen depend on the parahydrogen/orthohydrogen ratio (it often takes days or weeks at a given temperature to reach the equilibrium ratio, for which the data is usually given). Hydrogen detonation parameters, such as critical detonation pressure and temperature, strongly depend on the container geometry.","How long can it take to reach the equilibrium ratio?"
"26","Analog computers are still used in certain specialized fields, including education for control systems and in the aircraft industry with slide rules.","factual","By the 1950s the success of digital electronic computers had spelled the end for most analog computing machines, but analog computers remain in use in some specialized applications such as education (control systems) and aircraft (slide rule).","Analog computers remain in use in what industries?"
"27","In taxonomies, flowering plants are generally treated as a coherent group.","factual","In most taxonomies, the flowering plants are treated as a coherent group. The most popular descriptive name has been Angiospermae (Angiosperms), with Anthophyta (""flowering plants"") a second choice. These names are not linked to any rank. The Wettstein system and the Engler system use the name Angiospermae, at the assigned rank of subdivision. The Reveal system treated flowering plants as subdivision Magnoliophytina (Frohne & U. Jensen ex Reveal, Phytologia 79: 70 1996), but later split it to Magnoliopsida, Liliopsida, and Rosopsida. The Takhtajan system and Cronquist system treat this group at the rank of division, leading to the name Magnoliophyta (from the family name Magnoliaceae). The Dahlgren system and Thorne system (1992) treat this group at the rank of class, leading to the name Magnoliopsida. The APG system of 1998, and the later 2003 and 2009 revisions, treat the flowering plants as a clade called angiosperms without a formal botanical name. However, a formal classification was published alongside the 2009 revision in which the flowering plants form the Subclass Magnoliidae.","In taxonomies, what type of group are flowering plants treated?"
"28","The walls of Neapolis were built to protect the city from potential attacks by foreign invaders.","factual","The first settlement is defined as Paleapolis (Παλεάπολις), the Ancient Greek world for ""old city"", in order to distinguish it from a second settlement built during the 5th century BC, called Neapolis (Νεάπολις), ""new city"". The neapolis was erected towards the east and along with it, monumental walls around the whole settlement were built to prevent attacks from foreign threats. Some part of this structure can still be seen in the Cassaro district. This district was named after the walls themselves; the word Cassaro deriving from the Arab al-qsr (castle, stronghold). Along the walls there were few doors to access and exit the city, suggesting that trade even toward the inner part of the island occurred frequently. Moreover, according to some studies, it may be possible that there were some walls that divided the old city from the new one too. The colony developed around a central street (decumanus), cut perpendicularly by minor streets. This street today has become the Corso Vittorio Emanuele.","What were the walls of Neapolis meant to do?"
"29","The Bells were living at their home in Beinn Bhreagh when the Halifax Explosion occurred.","factual","Until the end of his life, Bell and his family would alternate between the two homes, but Beinn Bhreagh would, over the next 30 years, become more than a summer home as Bell became so absorbed in his experiments that his annual stays lengthened. Both Mabel and Bell became immersed in the Baddeck community and were accepted by the villagers as ""their own"".[N 22] The Bells were still in residence at Beinn Bhreagh when the Halifax Explosion occurred on December 6, 1917. Mabel and Bell mobilized the community to help victims in Halifax.","Where did the Bells live when the Halifax Explosion happened?"
"30","Michael Johns was hospitalized after singing during the week of the top nine, not David Cook.","contradiction","For the finals, American Idol debuted a new state-of-the-art set and stage on March 11, 2008, along with a new on-air look. David Cook's performance of ""Billie Jean"" on top-ten night was lauded by the judges, but provoked controversy when they apparently mistook the Chris Cornell arrangement to be David Cook's own even though the performance was introduced as Cornell's version. Cornell himself said he was 'flattered' and praised David Cook's performance. David Cook was taken to the hospital after the top-nine performance show due to heart palpitations and high blood pressure.","Which American Idol contestant was hospitalized after singing during the week of the top nine?"
"31","Frederick was able to successfully retreat because his troops maintained good order and the dense woods provided cover, allowing them to withdraw without suffering heavy losses.","factual","The war was continuing indecisively when on 14 October Marshal Daun's Austrians surprised the main Prussian army at the Battle of Hochkirch in Saxony. Frederick lost much of his artillery but retreated in good order, helped by dense woods. The Austrians had ultimately made little progress in the campaign in Saxony despite Hochkirch and had failed to achieve a decisive breakthrough. After a thwarted attempt to take Dresden, Daun's troops were forced to withdraw to Austrian territory for the winter, so that Saxony remained under Prussian occupation. At the same time, the Russians failed in an attempt to take Kolberg in Pomerania (now Kołobrzeg, Poland) from the Prussians.","Why was Frederick able to retreat successfully?"
"32","The electric eel uses electric shock for defense and navigation, not for killing prey.","contradiction","Predatory animals often use their usual methods of attacking prey to inflict or to threaten grievous injury to their own predators. The electric eel uses the same electric current to kill prey and to defend itself against animals (anacondas, caimans, egrets, jaguars, mountain lions, giant otters, humans, dogs, and cats) that ordinarily prey upon fish similar to an electric eel in size; the electric eel thus remains an apex predator in a predator-rich environment. A predator small enough to be prey for others, the domestic cat uses its formidable teeth and claws as weapons against animals that might confuse a cat with easier prey. Many non-predatory prey animals, such as a zebra, can give a strong kick that can maim or kill, while others charge with tusks or horns.","The electric eel uses electric shock for defense and what other purpose?"
"33","L'Oréal denied the accusations, stating that the claims were ""categorically untrue.""","factual","Beyoncé's lighter skin color and costuming has drawn criticism from some in the African-American community. Emmett Price, a professor of music at Northeastern University, wrote in 2007, that he thinks race plays a role in many of these criticisms, saying white celebrities who dress similarly do not attract as many comments. In 2008, L'Oréal was accused of whitening her skin in their Feria hair color advertisements, responding that ""it is categorically untrue"", and in 2013, Beyoncé herself criticized H&M for their proposed ""retouching"" of promotional images of her, and according to Vogue requested that only ""natural pictures be used"".","How did L'Oreal respond to accusations of changing pictures?"
"34","Divan poetry is the type of Ottoman poetry that is highly ritualized.","factual","Ottoman Divan poetry was a highly ritualized and symbolic art form. From the Persian poetry that largely inspired it, it inherited a wealth of symbols whose meanings and interrelationships—both of similitude (مراعات نظير mura'ât-i nazîr / تناسب tenâsüb) and opposition (تضاد tezâd) were more or less prescribed. Divan poetry was composed through the constant juxtaposition of many such images within a strict metrical framework, thus allowing numerous potential meanings to emerge. The vast majority of Divan poetry was lyric in nature: either gazels (which make up the greatest part of the repertoire of the tradition), or kasîdes. There were, however, other common genres, most particularly the mesnevî, a kind of verse romance and thus a variety of narrative poetry; the two most notable examples of this form are the Leyli and Majnun of Fuzûlî and the Hüsn ü Aşk of Şeyh Gâlib.","What type of Ottoman poetry is ritualized?"
"35","Religious freedom emerged from an unlikely alliance between New Light evangelicals like Isaac Bachus and John Leland, who joined forces with Deists and skeptics such as James Madison and Thomas Jefferson, all working together to advocate for a complete separation of church and state.","factual","Steven Waldman notes that; ""The evangelicals provided the political muscle for the efforts of Madison and Jefferson, not merely because they wanted to block official churches but because they wanted to keep the spiritual and secular worlds apart."" ""Religious freedom resulted from an alliance of unlikely partners,"" writes the historian Frank Lambert in his book The Founding Fathers and the Place of Religion in America. ""New Light evangelicals such as Isaac Bachus and John Leland joined forces with Deists and skeptics such as James Madison and Thomas Jefferson to fight for a complete separation of church and state.""","What did religious freedom result from?"
"36","NASCAR races in Tucson are held at Tucson Raceway Park.","factual","Tracks include Tucson Raceway Park and Rillito Downs. Tucson Raceway Park hosts NASCAR-sanctioned auto racing events and is one of only two asphalt short tracks in Arizona. Rillito Downs is an in-town destination on weekends in January and February each year. This historic track held the first organized quarter horse races in the world, and they are still racing there. The racetrack is threatened by development. The Moltacqua racetrack, was another historic horse racetrack located on what is now Sabino Canyon Road and Vactor Ranch Trail, but it no longer exists.","Where does Tucson hold NASCAR races?"
"37","The county is famous for its locally produced Cheddar cheese, although currently there is only one remaining cheese maker in the village of Cheddar.","factual","Tourism is a major industry, estimated in 2001 to support around 23,000 people. Attractions include the coastal towns, part of the Exmoor National Park, the West Somerset Railway (a heritage railway), and the museum of the Fleet Air Arm at RNAS Yeovilton. The town of Glastonbury has mythical associations, including legends of a visit by the young Jesus of Nazareth and Joseph of Arimathea, with links to the Holy Grail, King Arthur, and Camelot, identified by some as Cadbury Castle, an Iron Age hill fort. Glastonbury also gives its name to an annual open-air rock festival held in nearby Pilton. There are show caves open to visitors in the Cheddar Gorge, as well as its locally produced cheese, although there is now only one remaining cheese maker in the village of Cheddar.","What type of cheese is the county famous for "
"38","Spielberg addressed the theme of terrorism in his film Munich.","factual","In a career spanning more than four decades, Spielberg's films have covered many themes and genres. Spielberg's early science-fiction and adventure films were seen as archetypes of modern Hollywood blockbuster filmmaking. In later years, his films began addressing humanistic issues such as the Holocaust (in Schindler's List), the transatlantic slave trade (in Amistad), war (in Empire of the Sun, Saving Private Ryan, War Horse and Bridge of Spies) and terrorism (in Munich). His other films include Close Encounters of the Third Kind, the Indiana Jones film series, and A.I. Artificial Intelligence.","In what film did Spielberg address terrorism?"
"39","The pupal stage is the developmental phase that distinguishes 4-stage metamorphosis from 3-stage metamorphosis, as it is absent in the latter.","factual","","What stage of development differentiates a 4-stage metamorphosis from a 3-stage metamorphosis, notably absent in the latter?"
"40","Modified answer (with contradiction): The record-setting 35.6 degrees Celsius converts to 104.1 degrees Fahrenheit.","contradiction","","What does the record-setting 35.6 degrees Celsius convert to in degrees Fahrenheit? "
"41","After 1922, Russia was a part of the Soviet Union.","factual","The Russian Soviet Federative Socialist Republic (Russian SFSR or RSFSR; Russian: Российская Советская Федеративная Социалистическая Республика, tr. Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  listen (help·info)) commonly referred to as Soviet Russia or simply as Russia, was a sovereign state in 1917–22, the largest, most populous, and most economically developed republic of the Soviet Union in 1922–91 and a sovereign part of the Soviet Union with its own legislation in 1990–91. The Republic comprised sixteen autonomous republics, five autonomous oblasts, ten autonomous okrugs, six krais, and forty oblasts. Russians formed the largest ethnic group. To the west it bordered Finland, Norway and Poland; and to the south, China, Mongolia and North Korea whilst bordering the Arctic Ocean to the north, the Pacific Ocean to the east and the Black sea and Caspian Sea to the south. Within the USSR, it bordered the Baltic republics (Lithuania, Latvia and Estonia), the Byelorussian SSR and the Ukrainian SSR to the west. To the south it bordered the Georgian, Azerbaijan and Kazakh SSRs.","Which union did Russia belong to after 1922?"
"42","Christ's love reveals to humanity the mercy and care of God for His creation.","factual","The English concentrated on the spirit of the events of Christ's life, not the literality of events. They neither expected nor sought the appearance of the stigmata or any other physical manifestation. They wanted to create in themselves that environment that allowed Jesus to fulfill His divine mission, insofar as they were able. At the center of this environment was love: the love that Christ showed for humanity in becoming human. Christ's love reveals the mercy of God and His care for His creation. English Dominican mystics sought through this love to become images of God. Love led to spiritual growth that, in turn, reflected an increase in love for God and humanity. This increase in universal love allowed men's wills to conform to God's will, just as Christ's will submitted to the Father's will.","What does Christ's love reveal to humanity?"
"43","The Internet can be beneficial for socially anxious teens as it provides them with an easier way to interact socially online.","factual","Although research has been inconclusive, some findings have indicated that electronic communication negatively affects adolescents' social development, replaces face-to-face communication, impairs their social skills, and can sometimes lead to unsafe interaction with strangers. A 2015 review reported that “adolescents lack awareness of strategies to cope with cyberbullying, which has been consistently associated with an increased likelihood of depression.” Studies have shown differences in the ways the internet negatively impacts the adolescents' social functioning. Online socializing tends to make girls particularly vulnerable, while socializing in Internet cafés seems only to affect boys academic achievement. However, other research suggests that Internet communication brings friends closer and is beneficial for socially anxious teens, who find it easier to interact socially online. The more conclusive finding has been that Internet use has a negative effect on the physical health of adolescents, as time spent using the Internet replaces time doing physical activities. However, the Internet can be significantly useful in educating teens because of the access they have to information on many various topics.","How can the Internet be beneficial for socially anxious teens?"
"44","Control was passed to the Mamluk sultans of Egypt in the year 1260.","factual","In 1260, control passed to the Mamluk sultans of Egypt. The country was located between the two centres of Mamluk power, Cairo and Damascus, and only saw some development along the postal road connecting the two cities. Jerusalem, although left without the protection of any city walls since 1219, also saw a flurry of new construction projects centred around the Al-Aqsa Mosque compound (the Temple Mount). In 1266 the Mamluk Sultan Baybars converted the Cave of the Patriarchs in Hebron into an exclusive Islamic sanctuary and banned Christians and Jews from entering, which previously would be able to enter it for a fee. The ban remained in place until Israel took control of the building in 1967.","When was control passed to the Mamluk sultans of Egypt?"
"45","The railroad was challenged by Chief Sitting Bull in the years 1871, 1872, and 1873.","factual","Tracks of the Northern Pacific Railroad (NPR) reached Montana from the west in 1881 and from the east in 1882. However, the railroad played a major role in sparking tensions with Native American tribes in the 1870s. Jay Cooke, the NPR president launched major surveys into the Yellowstone valley in 1871, 1872 and 1873 which were challenged forcefully by the Sioux under chief Sitting Bull. These clashes, in part, contributed to the Panic of 1873 which delayed construction of the railroad into Montana. Surveys in 1874, 1875 and 1876 helped spark the Great Sioux War of 1876. The transcontinental NPR was completed on September 8, 1883, at Gold Creek.","What years were the railroad challenged by Chief Sitting Bull?"
